Sex,Age,Height(Inches),Weight(Pounds),BMI
1,21,65.78331,112.9925,18.35764628
1,35,71.51521,136.4873,18.76265227
1,27,69.39874,153.0269,22.33898483
0,24,68.2166,142.3354,21.50461196
1,18,67.78781,144.2971,22.07766909
1,22,68.69784,123.3024,18.36894397
0,35,69.80204,141.4947,
0,19,70.01472,136.4623,19.57189143
1,28,67.90265,112.3723,17.13502122
0,25,66.78236,120.6672,19.02236604
0,34,,127.4516,
1,28,67.62333,114.143,17.54910613
0,21,68.30248,125.6107,18.93008282
0,25,67.11656,122.4618,19.11349399
1,27,68.27967,116.0866,17.50645003
0,23,71.0916,139.9975,19.47522693
0,20,66.461,129.5023,20.61306451
1,31,68.64927,142.9733,21.32956107
0,19,71.23033,137.9025,19.10913596
1,32,67.13118,124.0449,19.35214792
0,22,67.83379,141.2807,21.58686108
1,32,68.87881,143.5392,21.27149797
1,31,63.48115,97.90191,17.08049361
1,35,68.42187,129.5027,19.44857419
0,29,67.62804,141.8501,21.80594279
0,24,67.20864,129.7244,20.19157888
0,21,70.84235,142.4235,19.9523732
0,25,67.49434,131.5502,20.30278552
0,30,66.53401,108.3324,17.20559874
1,31,65.44098,113.8922,18.69791655
1,25,69.5233,103.3016,15.02605989
1,25,65.8132,120.7536,19.60075929
1,26,67.8163,125.7886,19.22967413
0,21,70.59505,136.2225,19.21760089
1,26,71.80484,140.1015,19.10443381
1,27,69.20613,128.7487,18.89959718
1,30,66.80368,141.7994,22.33944827
1,21,67.65893,121.2319,18.61939155
0,26,67.80701,131.3478,20.08502785
1,23,64.04535,106.7115,18.29089016
1,23,68.57463,124.3598,18.59310375
1,31,65.18357,124.8591,20.66059094
0,18,69.65814,139.6711,20.23772218
1,19,67.96731,137.3696,20.90688324
0,28,65.98088,106.4499,17.19126657
1,27,68.67249,128.7639,19.19673441
0,18,66.88088,145.6837,22.89843646
0,31,67.69868,116.819,17.9205736
0,21,69.82117,,
0,34,69.08817,134.9325,19.87504004
1,34,69.91479,147.0219,21.1467066
0,28,67.33182,126.3285,19.59112862
0,29,70.26939,125.4839,17.86711632
1,30,69.10344,115.7084,17.03587236
0,27,65.38356,123.4892,
0,24,70.18447,147.8926,21.10878413
1,28,70.40617,155.8987,22.11158515
1,26,66.54376,128.0742,20.33507611
1,18,66.36418,119.3701,19.05578817
1,32,67.537,133.8148,20.62621035
0,22,66.50418,128.7325,20.4639347
0,21,68.99958,137.5453,20.31195306
1,19,68.30355,129.7604,19.55484811
1,24,67.01255,128.824,20.1689512
0,22,70.80592,135.3165,18.97625203
1,26,68.21951,109.6113,16.55910885
0,28,69.05914,142.4684,21.00269566
0,34,67.73103,132.749,20.34486076
1,31,67.21568,103.5275,16.11066092
1,26,,124.7299,
0,23,65.27033,129.3137,21.34085156
1,35,70.84278,134.0175,18.77453309
